DateID,ProductID,StoreID,CustomerID,QuantityOrdered,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20240728,26,6,539,11,718,79.66714946498323,83.31140531839056,555.0214452166263
20240728,1,6,261,1,459,58.71616184068175,24.119315990176368,376.1645221691419
20240728,866,6,712,18,715,58.88592168129628,70.15390210475978,585.9601762139439
20240728,606,6,380,8,624,76.80999958223117,88.49947740459635,458.6905230131725
20240728,456,6,180,7,195,26.32056936601895,25.320276844730678,143.35915378925037
20240728,546,6,558,2,154,7.897473779357845,14.049597847744472,132.05292837289767
20240728,149,6,385,8,589,71.6995108060534,75.33415404197252,441.9663351519741
20240728,696,6,465,13,824,97.67771821357407,74.09848819908153,652.2237935873444
20240728,218,6,789,14,954,69.70515247119457,48.333461347738975,835.9613861810665
20240728,956,6,171,9,493,32.61227228696852,36.06668595778394,424.3210417552475
20240728,241,6,430,1,915,18.75732582933857,61.787372479190125,834.4553016914713
20240728,678,6,432,15,982,130.90787857311895,124.06244242624419,727.0296790006369
20240728,531,6,637,20,627,86.54342747286641,88.28346680701952,452.17310572011405
20240728,407,6,863,10,585,45.23832065172155,42.52854985701277,497.2331294912657
20240728,556,6,185,7,978,134.89619250656466,134.88096407754657,708.2228434158887
20240728,546,6,820,15,656,18.895576600511593,60.720949806772516,576.3834735927159
20240728,225,6,183,20,589,30.189902403857126,45.74347026689115,513.0666273292518
20240728,206,6,675,18,714,43.61777005857866,70.98537102525336,599.396858916168
20240728,512,6,542,18,983,41.844980215758206,60.93407571246128,880.2209440717805
20240728,763,6,132,11,986,97.56044202108657,120.8057336468776,767.6338243320358
20240728,796,6,394,19,405,41.13292250761637,55.12228834866773,308.74478914371593
20240728,516,6,535,15,440,29.723196490937685,55.57174228944954,354.7050612196128
20240728,341,6,593,3,974,120.58908324368538,93.58614267347895,759.8247740828357
20240728,600,6,900,1,815,24.03144919150443,60.67626939891028,730.2922814095853
20240728,358,6,328,20,684,90.85026485038432,49.283010600238434,543.8667245493773
20240728,515,6,33,8,286,26.33267128732886,17.28773888303831,242.37958982963283
20240728,408,6,163,20,513,25.622483018415224,56.49591494320829,430.8816020383765
20240728,820,6,680,19,704,27.22812843592283,56.353125868641946,620.4187456954352
20240728,447,6,624,17,137,13.481568084888044,18.860420656256338,104.65801125885562
20240728,834,6,570,14,124,13.35398961080214,18.27934462227257,92.36666576692528
20240728,462,6,731,16,888,91.51455403472318,90.19887044916682,706.28657551611
20240728,307,6,751,10,962,47.046836822816815,76.84148839701355,838.1116747801697
20240728,728,6,932,16,818,99.06504064879425,45.60493998696081,673.3300193642449
20240728,445,6,974,5,894,73.27937290383458,128.22394372993412,692.4966833662313
20240728,620,6,323,1,801,119.73727782200503,53.11890979443937,628.1438123835555
20240728,186,6,897,19,726,107.32175998517152,38.94249503238012,579.7357449824483
20240728,344,6,584,10,241,22.32021733752105,35.15222847066083,183.52755419181813
20240728,341,6,802,19,388,33.1495925501009,27.999912354804636,326.85049509509446
20240728,780,6,665,10,593,59.44667667697751,73.64499345569759,459.90832986732494
20240728,511,6,816,14,820,34.73211291654218,105.13617920056885,680.131707882889
